Region,Nationwide,Urban,Rural,Birth_Rate
Beijing,43038,46358,21881,8.12
Tianjin,31854,34811,17843,6.73
Hebei,17987,23483,12372,10.83
Shanxi,15863,21159,9728,9.12
Inner Mongolia,20743,25383,13816,8.23
Liaoning,22203,27355,12030,6.45
Jilin,18075,23394,11457,6.05
Heilongjiang,18111,22165,12495,5.73
Shanghai,45605,48272,22449,7.00
Jiangsu,26697,31329,17716,9.12
Zhejiang,32026,37508,21352,10.51
Anhui,19137,23782,14546,12.03
Fujian,25314,30946,16281,12.90
Jiangxi,17650,22714,12497,12.59
Shandong,20427,26731,12309,11.77
Henan,16332,21972,11546,11.02
Hubei,21567,26422,15328,11.35
Hunan,20479,26924,13969,10.39
Guangdong,28995,34424,16949,12.54
Guangxi,16418,21591,12045,13.31
Hainan,19555,25317,12418,12.87
Chongqing,20774,25785,13112,10.48
Sichuan,19338,25367,14056,10.70
Guizhou,14780,21402,10222,13.65
Yunnan,15780,23455,10260,12.63
Tibet,13029,25637,8418,14.60
Shaanxi,17465,23514,10935,10.55
Gansu,15879,24454,9694,10.60
Qinghai,17545,23799,11343,13.66
Ningxia,18297,24161,11465,13.72
Xinjiang,17397,25594,10318,8.14